CustomerID,JoinDate,TotalSpend,Segment,LastActive,NumOrders,Region
CUST-1035,2025-05-18,48627.58,Standard,2025-08-06,18,East
CUST-1036,2025-03-29,13544.06,Enterprise,2025-10-09,78,North
CUST-1037,2024-07-11,10648.39,Enterprise,2025-03-24,95,West
CUST-1038,2025-06-12,41068.77,Standard,2026-01-19,9,East
CUST-1039,2025-12-27,20228.92,Premium,2026-10-12,23,South
CUST-1040,2024-07-24,12549.56,Enterprise,2024-09-21,7,East
CUST-1041,2025-12-22,13771.48,Enterprise,2026-05-02,65,West
CUST-1042,2025-10-12,34090.6,Standard,2026-01-13,48,West
CUST-1043,2025-08-31,8961.43,Enterprise,2026-05-16,76,Central
CUST-1044,2024-12-24,8259.33,Basic,2025-07-18,96,North
CUST-1045,2024-10-18,19389.63,Standard,2024-12-01,74,South
CUST-1046,2024-08-14,11333.09,Standard,2025-08-10,35,West
CUST-1047,2025-06-09,43245.03,Premium,2025-07-19,61,South
CUST-1048,2025-10-24,30096.98,Premium,2026-02-19,29,East
CUST-1049,2025-09-14,35665.75,Basic,2026-03-19,55,West
CUST-1050,2024-12-23,12674.74,Enterprise,2025-09-14,39,Central
CUST-1051,2025-09-30,29265.91,Premium,2026-05-21,66,East
CUST-1052,2025-07-28,29729.25,Basic,2026-07-24,39,North
CUST-1053,2025-05-08,16880.55,Basic,2025-07-09,82,East
CUST-1054,2024-10-10,32840.37,Basic,2025-03-22,25,South
CUST-1055,2025-06-13,44994.38,Enterprise,2025-11-13,85,East
CUST-1056,2025-11-28,36092.03,Enterprise,2026-03-09,38,East
CUST-1057,2025-03-04,19474.92,Premium,2025-10-27,75,Central
CUST-1058,2024-07-13,36354.84,Standard,2025-02-03,88,Central
CUST-1059,2025-10-15,45335.67,Basic,2026-07-15,65,East
CUST-1060,2024-06-23,9138.68,Premium,2025-05-04,61,South
CUST-1061,2024-09-21,38169.62,Standard,2025-08-03,88,East
CUST-1062,2025-11-01,11190.45,Standard,2026-01-15,96,East
CUST-1063,2025-03-06,18646.95,Basic,2025-09-21,60,North
CUST-1064,2025-04-26,43333.03,Premium,2025-06-22,61,South
CUST-1065,2025-05-27,43388.14,Enterprise,2025-08-26,68,East
CUST-1066,2025-02-27,43555.37,Standard,2025-04-25,18,South
CUST-1067,2024-12-16,49360.86,Enterprise,2025-08-12,19,East
CUST-1068,2024-07-03,24430.28,Standard,2024-09-12,41,North
CUST-1069,2024-01-05,13749.04,Standard,2024-09-22,74,South
CUST-1070,2025-05-16,6557.36,Enterprise,2025-07-30,82,West
CUST-1071,2025-02-17,48269.86,Enterprise,2025-10-24,1,North
CUST-1072,2025-06-30,36559.89,Premium,2025-11-09,42,Central
CUST-1073,2024-07-14,33869.73,Standard,2024-08-22,29,East
CUST-1074,2024-11-15,5225.14,Basic,2025-02-19,22,North
CUST-1075,2024-02-16,47428.32,Enterprise,2024-08-16,94,Central
CUST-1076,2025-09-02,16957.97,Standard,2026-06-27,44,West
CUST-1077,2025-01-02,8327.69,Enterprise,2025-05-08,3,South
CUST-1078,2024-08-17,10638.39,Premium,2024-11-22,76,Central
CUST-1079,2024-06-22,18392.91,Premium,2024-09-23,49,East
CUST-1080,2025-07-01,2524.49,Premium,2026-06-15,85,North
CUST-1081,2025-10-31,2506.93,Premium,2025-12-10,54,West
CUST-1082,2025-01-24,27409.39,Enterprise,2025-04-27,90,South
CUST-1083,2024-07-29,564.3,Enterprise,2025-07-16,85,North
CUST-1084,2025-11-09,13571.86,Standard,2026-09-01,54,North
CUST-1085,2025-06-07,5974.95,Premium,2026-05-19,14,West
CUST-1086,2024-07-22,10067.49,Basic,2025-06-28,67,South
CUST-1087,2025-01-01,14838.02,Premium,2025-08-28,71,West
CUST-1088,2024-07-31,16597.12,Premium,2025-05-03,2,North
CUST-1089,2024-04-23,33484.19,Standard,2025-03-12,12,Central
CUST-1090,2024-03-17,45248.49,Standard,2024-06-06,59,East
CUST-1091,2024-09-27,2599.0,Standard,2025-06-21,6,East
CUST-1092,2025-01-03,21357.16,Premium,2025-07-12,13,North
CUST-1093,2024-01-10,33201.42,Standard,2024-04-19,43,East
CUST-1094,2025-03-24,13488.64,Premium,2026-03-07,48,East
CUST-1095,2024-07-06,20098.8,Enterprise,2024-10-02,35,West
CUST-1096,2025-12-07,40014.96,Standard,2026-09-07,15,South
CUST-1097,2025-12-13,49080.3,Standard,2026-02-11,14,West
CUST-1098,2025-08-27,40133.01,Enterprise,2026-05-31,24,Central
CUST-1099,2025-01-23,30606.79,Standard,2025-08-24,62,West
CUST-1100,2024-04-25,22090.33,Premium,2024-12-21,34,East
CUST-1101,2024-01-13,38399.68,Standard,2024-11-06,86,East
CUST-1102,2025-06-15,34443.26,Premium,2026-04-08,56,South
CUST-1103,2025-05-08,33219.16,Enterprise,2025-12-01,20,Central
CUST-1104,2025-09-19,681.08,Standard,2025-11-15,65,West
CUST-1105,2025-05-22,3835.78,Enterprise,2025-09-13,42,South
CUST-1106,2024-12-04,2612.5,Standard,2025-05-25,71,West
CUST-1107,2025-02-16,4033.65,Enterprise,2025-07-16,74,West
CUST-1108,2024-03-31,22408.7,Premium,2025-01-10,64,North
CUST-1109,2024-04-15,20675.69,Premium,2024-12-07,12,Central
CUST-1110,2025-09-25,15299.44,Standard,2026-09-16,84,West
CUST-1111,2024-12-15,41283.02,Standard,2025-07-19,59,East
CUST-1112,2025-07-27,30037.56,Basic,2026-07-09,92,West
CUST-1113,2024-04-26,37990.07,Standard,2024-07-14,1,East
CUST-1114,2024-12-29,48225.24,Basic,2025-12-18,71,Central
CUST-1115,2025-01-17,2384.33,Standard,2025-04-11,64,South
CUST-1116,2025-02-23,12789.04,Standard,2025-05-18,25,North
CUST-1117,2025-02-06,22906.6,Standard,2025-06-26,92,East
CUST-1118,2024-04-20,2420.37,Premium,2024-12-18,99,West
CUST-1119,2025-04-13,47813.9,Standard,2026-03-10,64,North
CUST-1120,2025-06-27,27705.99,Enterprise,2025-08-20,75,West
CUST-1121,2025-06-04,34621.7,Standard,2025-10-02,94,South
CUST-1122,2024-04-16,32910.34,Basic,2024-11-30,65,West
CUST-1123,2025-03-04,45803.92,Standard,2026-02-08,36,West
CUST-1124,2024-12-17,22697.0,Standard,2025-06-15,18,West
CUST-1125,2025-09-08,15015.77,Basic,2026-06-27,92,Central
CUST-1126,2025-10-09,10124.37,Basic,2026-02-27,88,East
CUST-1127,2025-11-19,49068.64,Standard,2026-02-24,65,Central
CUST-1128,2025-12-11,16186.83,Premium,2026-12-02,98,East
CUST-1129,2025-07-29,29182.03,Enterprise,2026-04-30,87,Central
CUST-1130,2024-10-19,40434.41,Premium,2025-06-22,4,West
CUST-1131,2024-05-28,33545.68,Standard,2024-07-24,35,South
CUST-1132,2024-10-20,7406.78,Premium,2025-03-27,89,East
CUST-1133,2024-07-27,1712.09,Enterprise,2025-05-30,14,Central
CUST-1134,2025-11-22,43255.59,Enterprise,2026-10-05,31,Central
CUST-1135,2025-12-13,34677.51,Premium,2026-06-08,49,West
CUST-1136,2025-03-02,48295.08,Premium,2025-09-08,2,East
CUST-1137,2024-07-26,43455.61,Enterprise,2025-07-08,29,East
CUST-1138,2025-08-25,36948.66,Standard,2026-06-30,100,South
CUST-1139,2024-10-28,8953.55,Premium,2025-07-14,24,South
CUST-1140,2025-06-10,18922.19,Enterprise,2025-09-09,36,Central
CUST-1141,2024-09-27,8130.35,Basic,2025-01-01,1,East
CUST-1142,2025-04-22,2093.04,Basic,2025-08-09,77,North
CUST-1143,2025-10-02,42172.69,Basic,2026-09-12,63,Central
CUST-1144,2025-07-17,3736.75,Basic,2026-02-15,68,South
CUST-1145,2024-07-07,3502.01,Standard,2025-04-29,54,Central
CUST-1146,2025-07-03,4688.08,Standard,2026-02-24,28,East
CUST-1147,2024-12-05,14749.36,Enterprise,2025-07-07,72,North
CUST-1148,2024-04-27,22338.8,Standard,2024-11-20,6,East
CUST-1149,2025-01-25,19355.21,Basic,2025-04-23,4,Central
CUST-1150,2025-01-18,40160.56,Enterprise,2025-11-07,63,North
CUST-1151,2024-10-30,9706.37,Premium,2025-10-28,13,South
CUST-1152,2025-07-04,465.8,Premium,2026-05-03,27,South
CUST-1153,2025-12-02,41799.69,Standard,2026-08-06,69,West
CUST-1154,2025-10-24,37369.85,Standard,2025-12-29,4,West
CUST-1155,2024-12-05,4467.29,Premium,2025-01-23,23,East
CUST-1156,2025-07-25,28790.62,Standard,2025-09-29,34,West
CUST-1157,2025-02-01,31547.84,Enterprise,2025-10-19,41,North
CUST-1158,2025-02-02,26788.24,Premium,2025-05-03,97,Central
CUST-1159,2024-02-16,17949.24,Premium,2024-04-23,38,East
CUST-1160,2025-09-13,14147.72,Enterprise,2025-11-26,49,West
CUST-1161,2025-11-07,23751.99,Standard,2025-12-22,18,West
CUST-1162,2025-07-12,48010.7,Standard,2026-01-09,39,East
CUST-1163,2024-01-12,43750.87,Standard,2024-11-20,16,North
CUST-1164,2024-01-06,29873.08,Premium,2024-11-24,40,South
CUST-1165,2024-12-18,20691.46,Standard,2025-05-05,21,South
CUST-1166,2024-08-14,41753.94,Standard,2025-07-25,15,South
CUST-1167,2025-11-18,42627.33,Enterprise,2026-10-04,83,Central
CUST-1168,2024-03-15,33617.09,Basic,2024-09-09,13,South
CUST-1169,2025-08-17,47581.84,Basic,2026-05-23,17,South
CUST-1170,2024-04-12,31013.84,Standard,2024-10-04,41,West
CUST-1171,2025-04-06,30855.49,Basic,2025-10-21,89,Central
CUST-1172,2024-06-05,28386.41,Basic,2025-04-20,55,South
CUST-1173,2024-01-05,12384.14,Standard,2024-07-13,92,West
CUST-1174,2024-10-10,6801.86,Basic,2025-05-12,62,West
CUST-1175,2025-04-01,38760.87,Enterprise,2025-10-31,71,North
CUST-1176,2024-06-28,30370.72,Basic,2025-06-23,18,Central
CUST-1177,2024-07-20,36703.88,Premium,2024-12-31,94,North
CUST-1178,2024-01-20,31618.16,Enterprise,2024-11-04,99,Central
CUST-1179,2024-08-05,27624.54,Enterprise,2024-09-22,84,South
CUST-1180,2025-01-09,11243.0,Basic,2025-08-27,18,West
CUST-1181,2025-05-28,4618.65,Basic,2026-03-15,65,North
CUST-1182,2025-11-09,42414.29,Standard,2026-04-10,97,Central
CUST-1183,2024-05-23,8045.2,Standard,2025-02-05,95,West
CUST-1184,2025-01-02,11019.07,Enterprise,2025-02-21,30,North
CUST-1185,2024-09-27,11777.53,Standard,2025-05-04,67,East
CUST-1186,2025-02-01,45903.31,Premium,2025-10-29,6,East
CUST-1187,2024-04-15,31714.99,Basic,2025-02-05,95,East
CUST-1188,2025-08-15,28550.99,Enterprise,2026-06-19,84,West
CUST-1189,2025-01-09,32701.49,Premium,2025-12-05,67,East
CUST-1190,2025-01-20,25866.95,Basic,2025-06-13,45,West
CUST-1191,2025-05-08,429.22,Standard,2026-04-12,57,South
CUST-1192,2024-08-23,25775.61,Basic,2024-10-31,28,South
CUST-1193,2024-07-10,18174.92,Premium,2024-10-28,85,South
CUST-1194,2025-02-28,36040.76,Enterprise,2025-09-15,87,West
CUST-1195,2025-05-05,29580.47,Enterprise,2025-09-19,3,South
CUST-1196,2024-02-14,28716.98,Standard,2024-05-19,18,Central
CUST-1197,2024-02-10,7428.57,Standard,2024-12-29,34,South
CUST-1198,2025-06-13,30007.94,Premium,2026-02-05,93,East
CUST-1199,2024-03-28,22515.25,Enterprise,2024-08-15,62,South
CUST-1200,2024-08-12,30081.85,Standard,2025-04-09,80,Central
CUST-1201,2024-09-27,36236.92,Basic,2025-01-20,59,Central
CUST-1202,2025-08-27,11567.71,Enterprise,2025-10-31,17,North
CUST-1203,2024-01-17,26183.3,Enterprise,2024-05-29,20,Central
CUST-1204,2024-04-08,23845.87,Premium,2024-08-06,69,Central
CUST-1205,2024-04-30,24163.82,Standard,2024-07-16,78,Central
CUST-1206,2024-01-02,21631.69,Enterprise,2024-12-29,48,North
CUST-1207,2025-12-15,21504.92,Enterprise,2026-10-12,99,West
CUST-1208,2024-12-24,40250.59,Premium,2025-11-20,55,South
CUST-1209,2024-09-17,38316.36,Premium,2025-06-18,37,Central
CUST-1210,2025-07-10,12964.47,Premium,2026-03-06,91,North
CUST-1211,2025-08-14,5979.65,Premium,2026-06-07,49,South
CUST-1212,2025-12-05,20501.37,Premium,2026-06-14,20,West
CUST-1213,2025-10-29,12756.27,Enterprise,2026-09-23,73,East
CUST-1214,2025-09-18,49590.75,Enterprise,2026-03-08,97,South
CUST-1215,2025-02-27,39211.04,Enterprise,2026-01-05,23,East
CUST-1216,2025-07-26,24239.63,Basic,2026-06-05,74,East
CUST-1217,2025-12-23,36815.54,Premium,2026-08-13,96,South
CUST-1218,2025-04-02,5103.9,Enterprise,2025-07-23,44,Central
CUST-1219,2025-09-20,8120.83,Premium,2025-11-15,12,South
CUST-1220,2025-04-27,21825.33,Premium,2026-03-30,34,South
CUST-1221,2025-01-14,30490.54,Enterprise,2025-03-25,52,Central
CUST-1222,2025-11-02,14394.81,Premium,2026-08-25,100,South
CUST-1223,2025-10-17,22004.71,Standard,2026-07-27,85,Central
CUST-1224,2024-10-19,1777.11,Standard,2025-02-25,79,South
CUST-1225,2025-11-21,18051.03,Premium,2026-01-08,21,North
CUST-1226,2024-10-09,17721.07,Enterprise,2025-05-31,52,Central
CUST-1227,2024-07-24,866.79,Premium,2025-05-15,12,Central
CUST-1228,2024-10-18,45758.95,Basic,2025-08-30,45,East
CUST-1229,2024-08-19,48156.55,Enterprise,2025-07-25,52,Central
CUST-1230,2024-01-05,8834.24,Premium,2024-06-16,72,North
CUST-1231,2025-05-30,17064.3,Premium,2025-11-26,66,East
CUST-1232,2025-07-04,12582.06,Enterprise,2026-05-24,49,Central
CUST-1233,2025-05-10,37897.92,Enterprise,2025-10-11,88,West
CUST-1234,2025-08-23,24150.31,Basic,2025-10-06,9,West
CUST-1235,2025-10-10,33877.96,Standard,2026-03-01,41,West
CUST-1236,2024-12-27,26829.03,Basic,2025-10-17,32,East
CUST-1237,2024-04-05,33717.53,Basic,2024-11-25,10,Central
CUST-1238,2024-07-01,15762.25,Standard,2025-03-31,74,East
CUST-1239,2024-07-06,25000.07,Standard,2024-11-10,31,South
CUST-1240,2024-09-28,11537.46,Standard,2025-02-10,80,East
CUST-1241,2024-06-08,6081.94,Premium,2024-08-31,87,West
CUST-1242,2025-09-20,38235.79,Premium,2025-10-23,62,East
CUST-1243,2025-09-27,24667.78,Basic,2026-04-06,63,South
CUST-1244,2025-06-07,19954.19,Standard,2025-11-27,7,Central
CUST-1245,2025-03-09,46988.76,Premium,2025-12-08,65,East
CUST-1246,2025-02-07,22914.08,Premium,2025-06-06,90,Central
CUST-1247,2025-04-16,34491.61,Premium,2025-10-24,87,South
CUST-1248,2025-01-23,5127.32,Basic,2025-12-16,79,East
CUST-1249,2024-07-10,13216.17,Basic,2025-05-16,61,Central
CUST-1250,2024-12-17,9277.29,Enterprise,2025-07-22,27,West
CUST-1251,2025-12-18,18317.39,Enterprise,2026-07-26,36,West
CUST-1252,2024-07-03,6643.84,Standard,2025-05-21,13,East
CUST-1253,2024-08-29,21667.72,Enterprise,2025-07-09,26,South
CUST-1254,2024-06-02,40302.85,Standard,2025-03-01,54,West
CUST-1255,2024-05-17,25898.65,Basic,2025-05-04,63,East
CUST-1256,2024-09-13,42939.25,Premium,2025-07-27,51,North
CUST-1257,2025-12-08,3095.82,Basic,2026-03-31,61,North
CUST-1258,2025-04-05,13062.48,Basic,2025-10-23,72,Central
CUST-1259,2024-09-20,1089.78,Premium,2025-04-14,45,Central
CUST-1260,2024-07-22,28837.13,Standard,2025-06-12,100,East
CUST-1261,2024-12-29,33692.32,Enterprise,2025-07-13,100,West
CUST-1262,2024-03-21,30721.82,Enterprise,2024-11-01,81,South
CUST-1263,2024-06-20,40405.09,Basic,2025-06-12,54,Central
CUST-1264,2025-08-08,42460.15,Premium,2026-04-02,11,South
CUST-1265,2024-12-17,15742.75,Basic,2025-05-12,91,East
CUST-1266,2025-09-11,19833.22,Enterprise,2026-09-06,100,East
CUST-1267,2025-08-24,48279.75,Enterprise,2026-06-16,22,South
CUST-1268,2024-01-24,36415.84,Basic,2024-04-27,96,North
CUST-1269,2024-08-03,19912.57,Premium,2024-11-26,9,West
CUST-1270,2025-07-15,1415.61,Enterprise,2025-09-10,68,North
CUST-1271,2024-04-16,30943.3,Premium,2024-09-27,84,West
CUST-1272,2024-11-12,12445.09,Basic,2025-04-08,57,South
CUST-1273,2024-05-14,41942.04,Premium,2025-03-09,5,East
CUST-1274,2024-11-29,23412.95,Basic,2025-08-29,71,West
CUST-1275,2024-05-18,8934.13,Enterprise,2025-03-20,81,Central
CUST-1276,2025-03-21,32025.35,Basic,2026-01-13,45,West
CUST-1277,2025-07-06,40254.92,Enterprise,2025-11-29,40,East
CUST-1278,2025-02-26,7870.31,Premium,2025-08-08,1,Central
CUST-1279,2024-05-19,14409.44,Premium,2024-12-11,89,West
CUST-1280,2025-05-03,555.72,Enterprise,2025-11-02,38,Central
CUST-1281,2024-08-24,27455.79,Standard,2024-09-26,53,Central
CUST-1282,2025-03-23,12569.82,Enterprise,2025-11-10,49,South
CUST-1283,2024-09-26,21169.75,Standard,2024-12-05,67,Central
CUST-1284,2025-12-11,14305.38,Basic,2026-05-29,53,South
CUST-1285,2024-03-11,6917.54,Premium,2024-07-12,82,West
CUST-1286,2025-09-24,13679.49,Enterprise,2026-06-12,25,East
CUST-1287,2024-01-20,2576.64,Premium,2024-05-06,24,North
CUST-1288,2024-10-15,6339.46,Enterprise,2025-03-31,94,North
CUST-1289,2024-08-26,7619.12,Enterprise,2024-11-10,28,East
CUST-1290,2025-03-06,39307.69,Enterprise,2025-09-11,48,West
CUST-1291,2025-12-14,16579.41,Standard,2026-01-29,8,East
CUST-1292,2025-02-05,27205.28,Standard,2025-04-12,25,East
CUST-1293,2025-01-25,6185.88,Standard,2025-03-02,50,West
CUST-1294,2024-09-10,10039.08,Premium,2024-10-27,67,South
CUST-1295,2025-04-29,34103.97,Basic,2025-12-14,42,South
CUST-1296,2025-10-06,37261.76,Premium,2025-11-26,33,West
CUST-1297,2025-10-15,10016.31,Premium,2026-04-15,86,South
CUST-1298,2024-04-25,31682.16,Basic,2024-09-22,2,South
CUST-1299,2024-10-09,6070.51,Standard,2025-09-03,2,North
CUST-1300,2025-08-18,34451.49,Standard,2026-05-18,48,North
