Date,Value,Category
2024-06-19,1683.25,C
2024-06-20,1657.4,B
2024-06-21,1666.87,C
2024-06-22,1714.7,A
2024-06-23,1727.18,C
2024-06-24,1669.1,C
2024-06-25,1759.7,B
2024-06-26,1784.93,C
2024-06-27,1817.98,A
2024-06-28,1848.77,C
2024-06-29,1880.37,C
2024-06-30,2001.18,A
2024-07-01,2066.77,B
2024-07-02,2041.3,C
2024-07-03,2014.99,C
2024-07-04,2255.44,B
2024-07-05,2146.79,B
2024-07-06,2069.03,A
2024-07-07,2253.49,A
2024-07-08,2093.25,A
2024-07-09,2095.97,A
2024-07-10,2145.5,A
2024-07-11,2069.92,C
2024-07-12,1986.19,C
2024-07-13,2064.65,B
2024-07-14,1920.38,A
2024-07-15,1891.13,B
2024-07-16,1880.34,C
2024-07-17,1842.58,A
2024-07-18,1901.28,C
2024-07-19,1867.02,A
2024-07-20,1862.53,A
2024-07-21,1782.79,C
2024-07-22,1888.93,A
2024-07-23,1730.71,A
2024-07-24,1898.37,C
2024-07-25,1983.22,B
2024-07-26,1871.86,A
2024-07-27,1844.65,A
2024-07-28,1960.47,A
2024-07-29,2007.6,C
2024-07-30,2190.33,A
2024-07-31,2151.32,B
2024-08-01,2080.05,B
2024-08-02,2191.41,C
2024-08-03,2326.33,C
2024-08-04,2257.27,A
2024-08-05,2369.83,A
2024-08-06,2322.7,C
2024-08-07,2362.96,C
2024-08-08,2266.36,A
2024-08-09,2317.96,C
2024-08-10,2236.08,B
2024-08-11,2272.12,A
2024-08-12,2140.02,C
2024-08-13,2072.35,C
2024-08-14,2017.4,A
2024-08-15,2067.77,B
2024-08-16,1995.29,A
2024-08-17,1997.83,A
2024-08-18,2060.09,A
2024-08-19,1981.89,B
2024-08-20,1994.85,C
2024-08-21,1955.17,A
2024-08-22,1980.69,B
2024-08-23,1983.32,C
2024-08-24,1987.14,B
2024-08-25,2070.24,A
2024-08-26,2030.94,C
2024-08-27,2191.45,C
2024-08-28,2235.93,B
2024-08-29,2175.33,C
2024-08-30,2351.78,C
2024-08-31,2308.25,C
2024-09-01,2319.42,A
2024-09-02,2337.65,C
2024-09-03,2462.93,A
2024-09-04,2468.94,A
2024-09-05,2389.07,C
2024-09-06,2429.33,A
2024-09-07,2366.87,C
2024-09-08,2382.26,A
2024-09-09,2397.41,B
2024-09-10,2396.36,B
2024-09-11,2260.73,C
2024-09-12,2287.6,A
2024-09-13,2198.57,B
2024-09-14,2103.09,C
2024-09-15,2096.03,A
2024-09-16,2170.3,A
2024-09-17,2147.96,C
2024-09-18,1998.85,C
2024-09-19,2145.18,B
2024-09-20,2154.91,A
2024-09-21,2158.65,C
2024-09-22,2212.03,A
2024-09-23,2197.45,B
2024-09-24,2202.82,C
2024-09-25,2211.75,A
2024-09-26,2240.06,C
2024-09-27,2347.7,C
2024-09-28,2374.84,B
2024-09-29,2427.29,C
2024-09-30,2466.8,B
2024-10-01,2498.94,C
2024-10-02,2413.69,A
2024-10-03,2534.82,A
2024-10-04,2617.7,B
2024-10-05,2521.63,A
2024-10-06,2555.85,A
2024-10-07,2594.52,C
2024-10-08,2530.59,A
2024-10-09,2489.9,B
2024-10-10,2517.18,B
2024-10-11,2444.06,A
2024-10-12,2407.16,A
2024-10-13,2473.54,A
2024-10-14,2355.54,B
2024-10-15,2263.69,A
2024-10-16,2297.25,C
2024-10-17,2304.09,C
2024-10-18,2240.02,C
2024-10-19,2210.32,A
2024-10-20,2273.91,C
2024-10-21,2249.5,C
2024-10-22,2279.76,B
2024-10-23,2284.76,A
2024-10-24,2323.8,A
2024-10-25,2415.35,B
2024-10-26,2468.86,A
2024-10-27,2507.85,C
2024-10-28,2556.75,C
2024-10-29,2557.64,A
2024-10-30,2739.87,A
2024-10-31,2641.47,C
2024-11-01,2713.82,B
2024-11-02,2661.46,C
2024-11-03,2684.62,C
2024-11-04,2746.16,B
2024-11-05,2704.82,C
2024-11-06,2621.39,A
2024-11-07,2648.52,B
2024-11-08,2630.41,A
2024-11-09,2742.1,B
2024-11-10,2621.72,B
2024-11-11,2559.74,A
2024-11-12,2609.75,B
2024-11-13,2572.36,C
2024-11-14,2443.04,A
2024-11-15,2464.07,C
2024-11-16,2487.58,C
2024-11-17,2438.06,C
2024-11-18,2468.4,C
2024-11-19,2411.47,C
2024-11-20,2563.77,B
2024-11-21,2392.7,B
2024-11-22,2447.56,C
2024-11-23,2489.88,C
2024-11-24,2605.36,A
2024-11-25,2601.96,C
2024-11-26,2594.08,C
2024-11-27,2673.36,B
2024-11-28,2709.89,C
2024-11-29,2784.04,A
2024-11-30,2782.81,A
2024-12-01,2713.69,A
2024-12-02,2939.49,A
2024-12-03,2894.43,C
2024-12-04,2940.71,B
2024-12-05,2812.05,B
2024-12-06,2917.7,C
2024-12-07,2866.71,A
2024-12-08,2860.99,B
2024-12-09,2798.72,B
2024-12-10,2772.3,C
2024-12-11,2683.47,C
2024-12-12,2685.93,C
2024-12-13,2658.61,B
2024-12-14,2578.85,C
2024-12-15,2663.78,A
2024-12-16,2592.98,B
2024-12-17,2536.22,C
2024-12-18,2504.86,A
2024-12-19,2573.52,C
2024-12-20,2598.9,B
2024-12-21,2623.68,C
2024-12-22,2675.59,B
2024-12-23,2633.55,C
2024-12-24,2765.6,C
2024-12-25,2774.34,C
2024-12-26,2772.25,A
2024-12-27,2789.31,A
2024-12-28,2851.66,B
2024-12-29,2911.58,A
2024-12-30,3008.46,A
