Date,Region,Product,Revenue,Units_Sold,Discount_Pct,Customer_Rating
2024-09-04,East,Gadget X,8502.8,140,11.3,4.7
2024-04-06,South,Service Pro,6053.08,199,12.3,2.3
2024-08-30,West,Gadget Y,14832.0,167,29.4,3.0
2024-01-19,South,Service Pro,14497.63,85,26.1,4.5
2024-08-13,North,Service Pro,13701.4,4,21.7,2.6
2024-12-01,South,Widget A,7307.61,68,10.2,3.8
2024-11-28,North,Gadget X,12858.95,137,11.4,2.3
2024-09-06,Central,Widget A,9453.16,61,18.9,4.7
2024-04-26,North,Gadget Y,14685.9,195,19.0,4.5
2024-08-15,South,Gadget X,13599.65,12,9.7,1.2
2024-07-02,East,Gadget Y,2610.76,136,12.4,3.7
2024-04-02,South,Widget B,1645.04,98,18.6,2.0
2024-10-25,South,Widget B,7186.67,66,13.8,3.7
2024-08-26,East,Service Pro,2790.65,114,28.4,5.0
2024-06-02,West,Gadget X,7124.12,78,6.0,2.5
2024-09-04,North,Widget B,6029.78,92,17.2,5.0
2024-05-31,North,Gadget Y,4479.97,145,26.0,4.1
2024-01-26,Central,Gadget Y,12576.16,74,23.3,1.9
2024-06-29,South,Widget B,9502.92,174,22.7,4.1
2024-12-14,South,Widget A,13599.35,166,1.2,4.2
2024-01-18,Central,Gadget X,11119.22,24,27.3,2.3
2024-07-31,South,Widget B,2416.32,139,26.3,2.5
2024-09-13,East,Widget B,4226.07,124,29.0,2.2
2024-06-22,North,Gadget Y,14461.95,37,22.6,1.9
2024-12-12,West,Service Pro,5803.74,102,0.4,3.1
2024-08-20,East,Gadget X,8976.12,164,28.2,1.4
2024-04-29,West,Widget A,9483.43,144,9.8,3.4
2024-11-27,North,Gadget Y,13686.12,78,19.5,1.5
2024-01-24,North,Gadget X,14940.95,30,2.9,4.5
2024-03-10,West,Gadget Y,5879.67,191,20.9,3.2
2024-10-27,South,Gadget Y,9996.37,126,18.5,4.8
2024-05-23,North,Gadget X,3650.41,114,28.5,4.4
2024-02-20,East,Service Pro,13574.6,166,10.8,2.6
2024-04-07,North,Gadget Y,1829.26,55,19.3,3.4
2024-01-11,North,Gadget X,4031.75,33,23.6,1.8
2024-10-10,South,Service Pro,3631.29,60,9.9,1.6
2024-11-01,North,Gadget X,12946.89,38,29.6,3.2
2024-03-30,North,Widget A,2411.15,92,23.7,2.0
2024-06-14,North,Widget B,4347.83,33,22.3,3.1
2024-02-02,West,Gadget Y,11781.25,132,17.8,2.8
2024-04-23,Central,Widget A,11045.02,169,15.6,2.8
2024-01-16,North,Gadget Y,12785.83,110,20.6,3.0
2024-08-15,North,Widget A,5170.62,38,2.0,2.1
2024-11-20,Central,Service Pro,10826.22,98,29.8,3.1
2024-08-20,Central,Service Pro,6737.89,180,3.4,3.6
2024-10-09,South,Gadget Y,7047.55,59,12.4,4.3
2024-07-23,West,Widget A,5031.95,81,20.0,2.5
2024-03-19,West,Widget A,1822.76,22,2.8,1.4
2024-07-09,South,Service Pro,1369.72,144,16.9,3.7
2024-07-29,East,Gadget Y,13087.34,185,1.5,2.2
2024-06-08,East,Widget A,8879.82,55,4.6,2.9
2024-02-25,East,Service Pro,5829.64,196,8.4,1.9
2024-08-07,Central,Service Pro,9396.81,165,16.7,3.4
2024-12-02,East,Widget A,3116.03,180,22.9,4.7
2024-06-28,North,Widget B,13113.01,145,19.7,1.3
2024-11-20,North,Widget A,11318.62,56,11.3,2.8
2024-03-21,East,Gadget X,10963.14,199,28.2,3.4
2024-01-27,South,Widget B,11439.32,13,20.2,2.1
2024-12-04,West,Gadget Y,9302.6,107,8.2,4.0
2024-02-28,East,Gadget Y,2107.9,174,20.4,2.9
2024-12-07,East,Widget A,3697.52,154,1.6,1.8
2024-04-18,South,Gadget X,4696.98,31,0.2,4.0
2024-03-30,South,Gadget Y,8222.44,59,15.0,4.3
2024-06-30,North,Gadget Y,12995.58,11,13.1,2.8
2024-02-09,East,Service Pro,6724.62,104,21.3,2.7
2024-02-28,West,Widget A,14509.9,44,24.0,3.5
2024-12-19,East,Widget A,6832.32,28,7.3,3.4
2024-09-25,North,Gadget Y,13122.6,191,10.2,2.3
2024-03-27,North,Service Pro,9681.76,136,15.3,4.6
2024-06-27,East,Widget B,3925.9,38,7.7,1.7
2024-03-19,North,Widget B,14293.74,161,14.8,4.0
2024-10-23,West,Service Pro,9823.38,160,9.7,4.9
2024-06-10,South,Gadget Y,1490.15,114,18.9,4.2
2024-10-29,North,Gadget X,7856.38,80,13.9,1.2
2024-07-07,East,Widget A,9847.66,24,18.5,3.0
2024-08-24,Central,Service Pro,14336.36,190,26.9,2.8
2024-10-19,South,Gadget X,9272.58,129,4.5,1.2
2024-02-22,East,Widget A,7815.96,45,1.2,3.8
2024-08-12,Central,Service Pro,9342.18,94,11.2,2.1
2024-07-28,East,Service Pro,1259.3,162,19.4,1.3
2024-02-18,Central,Gadget Y,4620.13,186,25.5,4.9
2024-11-04,South,Gadget X,1681.78,170,4.2,2.4
2024-12-01,West,Widget B,9128.1,22,9.3,2.5
2024-06-17,South,Service Pro,1855.07,172,12.7,2.4
2024-07-04,East,Widget B,14291.96,88,28.4,2.9
2024-04-25,South,Widget B,1618.89,26,15.2,3.2
2024-09-26,North,Gadget X,13207.7,159,3.9,2.5
2024-03-24,South,Service Pro,12231.13,43,21.6,1.2
2024-07-05,South,Gadget Y,9353.63,193,22.5,2.8
2024-09-30,South,Gadget X,14501.15,121,27.1,1.8
2024-12-13,Central,Gadget Y,7194.36,73,23.3,3.0
2024-08-02,South,Widget B,12118.26,36,26.2,1.2
2024-09-03,East,Service Pro,14047.26,183,25.4,4.4
2024-05-25,North,Widget B,4455.47,132,4.4,2.7
2024-04-23,West,Gadget X,13991.84,107,1.6,3.0
2024-04-30,West,Widget A,5936.23,8,9.6,1.4
2024-11-28,East,Widget B,2495.19,74,27.5,2.9
2024-03-12,West,Gadget Y,9422.55,21,0.6,1.9
2024-03-17,Central,Service Pro,8152.69,29,23.3,2.0
2024-03-03,North,Widget B,6587.47,160,13.7,1.4
2024-09-12,Central,Service Pro,738.31,132,17.3,3.9
2024-05-29,West,Widget A,9414.74,62,17.1,1.7
2024-12-08,North,Service Pro,14632.49,18,28.6,3.2
2024-09-16,Central,Widget A,6161.58,121,1.3,2.5
2024-07-10,East,Widget A,5677.86,18,10.3,3.9
2024-11-17,North,Service Pro,11160.21,86,4.0,2.4
2024-06-22,South,Gadget Y,14721.88,123,19.0,4.2
2024-02-02,West,Widget A,4754.92,12,23.7,4.5
2024-06-10,East,Service Pro,6274.25,140,14.2,1.1
2024-11-27,South,Gadget X,5676.13,200,1.4,3.6
2024-05-19,North,Gadget X,6835.8,103,22.3,4.6
2024-07-16,East,Widget B,7694.95,128,11.0,4.2
2024-05-16,North,Gadget Y,1644.44,155,29.9,1.7
2024-05-30,East,Widget A,1661.0,170,8.9,2.8
2024-08-06,South,Gadget Y,5597.43,11,21.8,4.6
2024-11-10,West,Gadget X,9772.31,15,2.3,3.6
2024-07-05,Central,Widget B,14315.45,37,25.5,3.7
2024-08-12,North,Widget B,1474.88,200,19.4,2.4
2024-10-17,North,Service Pro,2724.85,116,28.5,2.5
2024-02-09,Central,Widget B,8177.17,102,9.4,2.1
2024-02-28,North,Widget B,7736.14,100,27.4,1.5
2024-05-13,West,Widget B,14947.29,74,20.8,5.0
2024-04-12,North,Widget B,12865.98,116,5.2,3.9
2024-02-14,East,Gadget X,10788.34,141,16.3,4.6
2024-03-21,South,Gadget X,7876.96,32,29.6,4.2
2024-05-01,West,Widget A,5733.0,147,11.1,4.2
2024-10-09,South,Service Pro,13321.57,17,9.3,5.0
2024-09-02,Central,Gadget Y,11652.89,148,2.2,4.9
2024-11-24,North,Gadget Y,7254.58,133,10.3,4.5
2024-10-09,Central,Widget B,11632.83,34,13.0,4.6
2024-01-29,North,Service Pro,2718.72,43,4.9,4.7
2024-04-25,East,Service Pro,13476.43,21,7.5,3.5
2024-10-09,East,Widget B,9562.82,158,16.0,3.0
2024-03-27,Central,Service Pro,2735.82,169,18.7,4.6
2024-06-21,Central,Widget A,12465.93,8,2.4,4.8
2024-10-22,East,Widget B,11620.91,107,18.5,1.1
2024-11-17,Central,Gadget X,9807.66,78,14.5,4.2
2024-12-16,West,Gadget X,7076.39,177,1.8,2.8
2024-09-04,West,Widget B,5432.79,37,9.4,3.9
2024-06-25,West,Widget B,11529.64,132,16.8,2.3
2024-08-26,North,Gadget X,7019.14,37,2.9,2.2
2024-07-15,Central,Gadget Y,4099.92,41,24.4,4.7
2024-06-09,South,Widget B,7724.85,132,14.0,4.5
2024-09-11,North,Widget A,14205.88,130,13.7,2.0
2024-10-25,East,Widget A,1232.84,127,17.9,4.4
2024-12-10,West,Gadget X,8282.02,28,12.9,4.5
2024-07-06,West,Gadget X,1156.01,14,17.1,1.8
2024-10-10,East,Widget A,6102.06,116,22.9,2.1
2024-11-15,Central,Widget A,2365.62,25,11.8,4.2
2024-06-22,Central,Gadget X,11446.99,51,18.1,2.6
2024-01-21,North,Widget A,2487.03,86,24.1,3.1
2024-03-17,Central,Service Pro,2526.82,157,9.6,2.6
2024-11-11,East,Service Pro,5377.42,131,16.0,3.8
2024-06-02,West,Widget A,5841.19,173,3.3,2.7
2024-06-06,North,Service Pro,7381.56,168,23.5,4.1
2024-10-22,South,Widget A,8961.09,44,15.7,3.9
2024-07-13,South,Widget B,957.77,180,3.3,1.1
2024-06-09,West,Widget B,6487.92,53,12.3,4.1
2024-08-29,North,Widget B,8020.91,144,9.8,3.6
2024-09-26,West,Gadget X,14371.94,118,27.4,2.4
2024-06-30,East,Service Pro,7520.61,64,8.4,2.2
2024-06-01,East,Widget B,10508.48,126,9.5,2.4
2024-05-20,East,Widget A,8815.41,140,11.4,4.9
2024-06-25,South,Gadget X,1109.96,183,2.4,4.7
2024-12-01,East,Gadget Y,3602.81,138,8.1,3.2
2024-05-19,South,Widget A,9427.32,151,7.2,1.2
2024-09-28,South,Widget B,1261.12,106,9.9,2.9
2024-12-14,South,Widget A,14485.52,41,12.2,4.7
2024-08-31,West,Widget B,11460.71,74,9.6,3.6
2024-02-15,Central,Widget B,8259.71,186,25.5,1.1
2024-03-30,West,Widget B,14041.88,10,29.9,2.6
2024-09-10,South,Gadget X,13212.78,3,9.0,3.4
2024-06-20,East,Gadget Y,14841.94,140,15.7,4.6
2024-03-09,Central,Gadget Y,4456.14,29,9.9,3.9
2024-11-27,East,Widget B,704.22,87,23.7,3.3
2024-04-08,South,Service Pro,12914.12,104,24.8,3.1
2024-02-14,West,Widget A,3179.33,36,14.3,4.7
2024-01-04,East,Gadget Y,3915.06,193,8.0,2.3
2024-10-25,Central,Widget A,4292.52,93,20.8,1.2
2024-03-01,West,Gadget X,2815.89,176,15.1,4.6
2024-12-26,East,Widget A,9761.31,76,11.0,1.9
2024-03-09,West,Widget B,7097.19,156,11.2,3.8
2024-08-29,Central,Widget B,11546.96,175,22.6,4.5
2024-02-11,Central,Gadget Y,8158.51,93,2.3,3.3
2024-02-01,Central,Service Pro,3431.27,138,4.5,2.3
2024-09-23,West,Widget A,10364.28,184,17.5,1.4
2024-09-18,West,Widget A,7074.77,132,12.5,3.3
2024-10-13,West,Gadget X,10987.56,102,7.6,1.0
2024-04-21,Central,Widget A,1156.7,89,21.0,3.2
2024-01-31,North,Gadget Y,960.16,105,5.4,1.5
2024-11-24,West,Gadget X,14896.42,98,13.5,4.7
2024-07-12,West,Widget A,10399.59,170,26.2,1.5
2024-06-27,North,Widget B,14896.28,101,15.9,3.9
2024-04-24,North,Widget A,14688.11,119,20.2,3.2
2024-09-29,West,Widget B,4088.92,89,4.7,1.8
2024-02-27,North,Gadget Y,9416.39,5,7.2,1.3
2024-10-31,North,Gadget Y,9167.88,181,26.2,2.0
2024-01-23,West,Gadget Y,3897.92,56,22.6,4.1
2024-03-12,Central,Gadget X,3895.34,188,17.3,3.3
2024-12-10,East,Widget B,4875.58,37,29.6,3.1
2024-07-30,East,Gadget X,1383.89,152,26.4,4.6
2024-11-16,West,Service Pro,7686.5,89,28.2,3.7
2024-09-25,East,Gadget Y,6419.76,77,11.3,4.0
2024-08-30,South,Widget B,4860.68,182,4.3,2.9
2024-01-30,Central,Gadget Y,14532.9,143,15.9,2.6
2024-05-10,South,Gadget X,9877.23,116,25.4,1.4
2024-04-07,North,Gadget X,5968.94,155,18.1,4.5
2024-04-06,Central,Service Pro,3646.74,54,26.1,2.3
2024-01-08,South,Widget B,14450.12,31,22.4,4.0
2024-05-04,Central,Widget B,6251.16,62,16.6,4.1
2024-07-13,West,Service Pro,9906.46,79,7.8,3.1
2024-09-11,West,Widget A,12140.84,185,14.1,4.4
2024-04-14,East,Gadget X,6501.99,145,25.9,4.0
2024-01-09,East,Service Pro,14053.99,149,21.6,2.2
2024-04-10,East,Widget B,6007.68,63,15.0,3.6
2024-12-16,East,Gadget X,11568.73,126,29.0,3.6
2024-09-08,West,Widget B,11125.2,91,5.1,3.9
2024-09-07,South,Service Pro,14859.69,16,15.7,4.4
2024-02-08,North,Widget A,6479.69,162,6.9,3.8
2024-01-05,South,Service Pro,7112.14,16,18.5,3.7
2024-11-11,West,Gadget Y,728.11,137,16.5,1.0
2024-09-28,East,Service Pro,14673.45,5,15.1,3.8
2024-08-08,South,Widget A,13811.71,135,4.5,1.8
2024-09-26,East,Gadget X,4376.21,102,2.4,4.8
2024-08-23,Central,Widget B,14858.38,58,9.0,4.3
2024-02-11,North,Widget A,6376.54,97,16.6,1.2
2024-01-05,South,Widget A,7747.95,112,19.3,2.3
2024-02-18,Central,Widget A,3831.61,178,26.6,2.9
2024-01-24,North,Gadget X,13540.02,145,19.7,1.7
2024-06-10,North,Widget B,9012.02,193,24.6,4.3
2024-02-09,East,Widget B,8677.39,146,25.0,2.6
2024-10-03,East,Gadget Y,11456.33,36,23.7,3.8
2024-02-10,Central,Gadget X,1278.6,112,7.0,1.3
2024-11-05,Central,Service Pro,6252.19,199,9.8,3.5
2024-08-18,West,Widget B,5659.26,97,13.0,3.7
2024-12-04,West,Widget A,11696.43,76,23.9,3.9
2024-02-12,East,Widget B,6010.0,163,4.6,2.6
2024-07-03,North,Widget A,575.33,79,13.3,4.0
2024-02-22,South,Widget A,3217.18,115,16.7,3.0
2024-02-22,North,Widget A,5631.76,24,17.9,4.1
2024-07-16,North,Gadget X,6500.25,200,2.5,4.6
2024-05-04,Central,Service Pro,2958.95,98,5.1,2.1
2024-05-17,West,Widget B,1417.37,112,8.3,2.2
2024-02-09,East,Gadget X,14191.22,185,18.8,3.4
2024-04-10,West,Widget A,2464.6,2,28.5,2.3
2024-11-13,West,Gadget X,6883.23,111,24.5,4.4
2024-10-31,South,Gadget X,5149.64,178,6.0,2.3
2024-07-22,East,Gadget X,11155.68,163,14.7,3.3
2024-05-04,East,Gadget Y,4564.35,101,11.0,4.7
2024-04-12,Central,Service Pro,3108.94,197,16.5,4.8
2024-08-24,South,Gadget Y,12066.44,178,2.1,4.4
2024-07-28,West,Widget B,9683.37,62,7.6,1.6
2024-08-04,West,Widget A,7011.47,154,14.4,2.6
2024-09-16,West,Service Pro,1033.09,93,21.0,4.2
2024-10-31,North,Widget A,11649.83,169,19.9,1.7
2024-11-09,North,Service Pro,14762.32,174,19.4,4.9
2024-06-18,West,Widget A,652.94,67,6.7,4.0
2024-10-12,Central,Service Pro,3704.96,96,11.7,4.1
2024-10-28,Central,Widget B,5502.03,7,14.5,2.2
2024-02-13,North,Widget B,5550.77,88,13.7,1.8
2024-09-04,East,Gadget Y,1915.53,185,20.9,2.3
2024-06-02,North,Widget A,827.48,88,19.4,3.7
2024-03-25,South,Service Pro,3029.57,41,9.9,2.7
2024-08-24,South,Gadget Y,9631.52,48,19.2,2.7
2024-01-15,Central,Widget B,7018.84,110,11.7,3.8
2024-04-15,East,Widget A,8871.54,138,5.6,2.3
2024-08-22,North,Gadget X,10225.17,126,15.8,3.6
2024-11-01,West,Service Pro,6191.89,30,10.4,4.4
2024-11-12,South,Gadget X,13820.9,152,2.5,1.5
2024-03-01,South,Gadget X,2195.76,96,20.8,3.0
2024-08-02,Central,Widget B,8834.69,109,5.6,3.5
2024-12-21,South,Service Pro,2919.55,74,4.2,2.3
2024-08-18,Central,Widget A,13050.07,3,14.5,1.8
2024-07-15,Central,Service Pro,9969.51,105,20.5,2.7
2024-08-15,West,Widget B,1698.72,8,23.9,1.9
2024-01-17,East,Widget B,8295.32,44,23.4,3.3
2024-09-10,Central,Service Pro,2141.56,30,8.0,3.2
2024-07-06,Central,Widget A,11520.06,113,16.4,5.0
2024-02-22,South,Gadget X,13184.74,9,13.5,2.4
2024-02-14,West,Widget A,11746.66,61,6.3,4.0
2024-12-18,East,Service Pro,9675.17,43,18.5,4.1
2024-04-15,North,Service Pro,5586.82,72,17.9,1.7
2024-12-26,East,Gadget X,8804.67,132,29.6,3.7
2024-02-18,South,Gadget Y,13822.15,71,26.0,1.5
2024-03-08,South,Widget B,10815.23,64,22.8,3.7
2024-09-07,South,Service Pro,9669.83,161,12.4,2.8
2024-11-20,North,Gadget Y,7976.4,72,20.8,4.5
2024-08-20,West,Gadget X,8938.36,199,25.4,1.4
2024-08-22,East,Widget A,12037.33,102,6.5,2.7
2024-04-18,West,Gadget X,5181.54,73,10.1,3.3
2024-10-16,West,Gadget X,13465.24,196,1.5,1.4
2024-08-23,North,Widget A,13976.78,41,13.2,1.0
2024-08-07,South,Widget B,13291.14,78,4.8,4.7
2024-05-20,North,Gadget X,4130.64,96,19.9,3.6
2024-01-27,West,Gadget X,11026.83,194,7.0,3.6
2024-12-26,North,Widget A,3594.61,20,4.0,1.9
2024-12-14,West,Widget A,616.91,88,24.5,5.0
2024-08-04,South,Gadget Y,1527.01,99,2.7,4.2
2024-02-22,East,Gadget X,13274.34,36,11.5,4.3
2024-03-09,South,Widget A,8192.37,3,18.3,1.7
2024-06-28,South,Widget B,13838.46,158,20.6,4.4
2024-02-14,North,Widget B,11410.46,151,21.9,2.4
2024-08-07,East,Widget B,4092.9,166,2.5,3.2
2024-11-03,Central,Gadget X,11795.06,177,0.8,4.4
2024-06-03,South,Service Pro,9300.44,49,22.4,2.2
2024-01-28,South,Gadget Y,6095.34,62,15.0,3.4
2024-09-27,North,Gadget X,14041.9,34,11.6,4.4
2024-08-03,East,Service Pro,10402.66,196,14.1,4.9
2024-02-07,North,Service Pro,1479.22,68,6.5,4.7
2024-07-22,Central,Gadget X,9614.28,129,23.0,2.7
2024-07-24,North,Service Pro,8296.0,40,8.3,2.2
2024-09-18,South,Widget B,8277.66,101,17.6,4.1
2024-11-28,North,Gadget X,10630.8,187,28.6,2.0
2024-05-05,North,Gadget Y,2181.81,157,18.3,2.2
2024-12-02,South,Widget A,683.64,36,21.0,1.7
2024-06-26,Central,Service Pro,11853.31,185,7.8,2.5
2024-05-17,North,Widget A,5357.66,110,8.2,1.3
2024-12-30,Central,Widget A,7694.14,131,10.8,3.0
2024-10-17,South,Gadget X,2780.99,198,3.1,3.3
2024-02-29,South,Service Pro,537.24,4,7.3,2.9
2024-07-15,South,Widget B,14001.82,10,16.6,4.7
2024-12-01,West,Widget B,5166.13,107,27.5,2.3
2024-02-09,Central,Gadget X,2231.31,173,27.1,1.7
2024-09-21,North,Gadget Y,1499.43,120,26.0,4.1
2024-06-08,East,Widget A,8519.83,3,11.1,2.2
2024-06-04,Central,Widget B,7226.94,152,29.2,5.0
2024-04-10,Central,Widget B,2683.21,105,0.7,3.2
2024-11-21,North,Gadget X,521.2,169,11.3,4.0
2024-06-06,North,Widget B,8182.31,61,12.6,4.8
2024-03-13,East,Widget A,1136.55,60,26.9,3.1
